step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
114,0.089062,7.813e-4,0.4000,0.738475,9.25766657e-4,4.18041346e1,-8.62023598e-1,3,3.347e-12,-1
115,0.089844,7.813e-4,0.4000,0.739569,9.31502448e-4,4.16869417e1,-8.62596503e-1,3,3.638e-12,-1
116,0.090625,7.813e-4,0.4000,0.740650,9.37213975e-4,4.15710243e1,-8.63161581e-1,3,3.425e-12,-1
117,0.091406,7.813e-4,0.4000,0.741718,9.42901529e-4,4.14563615e1,-8.63719007e-1,3,3.869e-12,-1
118,0.092187,7.813e-4,0.4000,0.742772,9.48565401e-4,4.13429324e1,-8.64268949e-1,3,3.659e-12,-1
119,0.092969,7.813e-4,0.4000,0.743813,9.54205870e-4,4.12307170e1,-8.64811572e-1,3,3.283e-12,-1
120,0.093750,7.813e-4,0.4000,0.744842,9.59823214e-4,4.11196956e1,-8.65347034e-1,3,3.254e-12,-1
121,0.094531,7.813e-4,0.4000,0.745858,9.65417704e-4,4.10098486e1,-8.65875488e-1,3,3.993e-12,-1
122,0.095312,7.813e-4,0.4000,0.746861,9.70989606e-4,4.09011573e1,-8.66397084e-1,3,4.256e-12,-1
123,0.096094,7.813e-4,0.4000,0.747853,9.76539182e-4,4.07936030e1,-8.66911967e-1,3,3.205e-12,-1
124,0.096875,7.813e-4,0.4000,0.748833,9.82066686e-4,4.06871676e1,-8.67420278e-1,3,3.723e-12,-1
125,0.097656,7.813e-4,0.4000,0.749802,9.87572371e-4,4.05818333e1,-8.67922153e-1,3,4.000e-12,-1
126,0.098437,7.813e-4,0.4000,0.750759,9.93056482e-4,4.04775827e1,-8.68417724e-1,3,3.858e-12,-1
127,0.099219,7.813e-4,0.4000,0.751705,9.98519262e-4,4.03743989e1,-8.68907120e-1,3,4.285e-12,-1
128,0.100000,7.813e-4,0.4000,0.752641,1.00396095e-3,4.02722650e1,-8.69390467e-1,3,3.848e-12,-1
129,0.100781,7.813e-4,0.4000,0.753565,1.00938178e-3,4.01711647e1,-8.69867886e-1,3,3.592e-12,-1
130,0.101562,7.813e-4,0.4000,0.754479,1.01478197e-3,4.00710821e1,-8.70339496e-1,3,4.377e-12,-1
131,0.102344,7.813e-4,0.4000,0.755383,1.02016176e-3,3.99720015e1,-8.70805411e-1,3,3.560e-12,-1
132,0.103125,7.813e-4,0.4000,0.756277,1.02552136e-3,3.98739074e1,-8.71265743e-1,3,3.624e-12,-1
133,0.103906,7.813e-4,0.4000,0.757161,1.03086100e-3,3.97767849e1,-8.71720601e-1,3,3.549e-12,-1
134,0.104687,7.813e-4,0.4000,0.758036,1.03618087e-3,3.96806191e1,-8.72170090e-1,3,3.737e-12,-1
135,0.105469,7.813e-4,0.4000,0.758900,1.04148121e-3,3.95853957e1,-8.72614314e-1,3,3.380e-12,-1
136,0.106250,7.813e-4,0.4000,0.759756,1.04676220e-3,3.94911005e1,-8.73053373e-1,3,3.638e-12,-1
137,0.107031,7.813e-4,0.4000,0.760602,1.05202405e-3,3.93977196e1,-8.73487364e-1,3,3.887e-12,-1
138,0.107812,7.813e-4,0.4000,0.761439,1.05726697e-3,3.93052395e1,-8.73916383e-1,3,3.624e-12,-1
139,0.108594,7.813e-4,0.4000,0.762268,1.06249114e-3,3.92136467e1,-8.74340521e-1,3,3.723e-12,-1
140,0.109375,7.813e-4,0.4000,0.763087,1.06769676e-3,3.91229282e1,-8.74759870e-1,3,3.858e-12,-1
141,0.110156,7.813e-4,0.4000,0.763898,1.07288402e-3,3.90330713e1,-8.75174516e-1,3,4.380e-12,-1
142,0.110937,7.813e-4,0.4000,0.764701,1.07805309e-3,3.89440634e1,-8.75584546e-1,3,3.588e-12,-1
143,0.111719,7.813e-4,0.4000,0.765496,1.08320418e-3,3.88558921e1,-8.75990043e-1,3,3.610e-12,-1
144,0.112500,7.813e-4,0.4000,0.766282,1.08833745e-3,3.87685454e1,-8.76391089e-1,3,3.688e-12,-1
145,0.113281,7.813e-4,0.4000,0.767060,1.09345308e-3,3.86820115e1,-8.76787762e-1,3,3.823e-12,-1
146,0.114062,7.813e-4,0.4000,0.767830,1.09855125e-3,3.85962787e1,-8.77180140e-1,3,3.666e-12,-1
147,0.114844,7.813e-4,0.4000,0.768593,1.10363212e-3,3.85113357e1,-8.77568298e-1,3,3.624e-12,-1
148,0.115625,7.813e-4,0.4000,0.769348,1.10869587e-3,3.84271714e1,-8.77952310e-1,3,3.936e-12,-1
149,0.116406,7.813e-4,0.4000,0.770096,1.11374265e-3,3.83437746e1,-8.78332248e-1,3,3.865e-12,-1
150,0.117187,7.813e-4,0.4000,0.770836,1.11877264e-3,3.82611348e1,-8.78708182e-1,3,3.880e-12,-1
151,0.117969,7.813e-4,0.4000,0.771569,1.12378600e-3,3.81792414e1,-8.79080181e-1,3,3.752e-12,-1
152,0.118750,7.813e-4,0.4000,0.772295,1.12878287e-3,3.80980840e1,-8.79448311e-1,3,3.695e-12,-1
153,0.119531,7.813e-4,0.4000,0.773014,1.13376343e-3,3.80176525e1,-8.79812637e-1,3,3.993e-12,-1
154,0.120312,7.813e-4,0.4000,0.773726,1.13872781e-3,3.79379369e1,-8.80173223e-1,3,3.716e-12,-1
155,0.121094,7.813e-4,0.4000,0.774431,1.14367617e-3,3.78589275e1,-8.80530131e-1,3,3.901e-12,-1
156,0.121875,7.813e-4,0.4000,0.775130,1.14860866e-3,3.77806146e1,-8.80883423e-1,3,3.553e-12,-1
157,0.122656,7.813e-4,0.4000,0.775822,1.15352543e-3,3.77029889e1,-8.81233157e-1,3,4.135e-12,-1
158,0.123437,7.813e-4,0.4000,0.776508,1.15842662e-3,3.76260410e1,-8.81579391e-1,3,3.638e-12,-1
159,0.124219,7.813e-4,0.4000,0.777187,1.16331236e-3,3.75497620e1,-8.81922183e-1,3,4.057e-12,-1
160,0.125000,7.813e-4,0.4000,0.777860,1.16818281e-3,3.74741429e1,-8.82261587e-1,3,4.192e-12,-1
161,0.125781,7.813e-4,0.4000,0.778606,1.17303809e-3,3.73991750e1,-8.82597658e-1,3,3.816e-12,-1
162,0.126562,7.813e-4,0.4000,0.779411,1.17787835e-3,3.73248497e1,-8.82930449e-1,3,3.922e-12,-1
163,0.127344,7.813e-4,0.4000,0.780206,1.18270371e-3,3.72511584e1,-8.83260012e-1,3,3.780e-12,-1
